NO,기업명,비전/슬로건
1,삼성전자,사람과 사회를 생각하는 글로벌 일류기업
2,현대자동차,휴머니티를 향한 진보 Progress for Humanity
3,SK,"구성원의 지속적 행복, VWBE를 통한 SUPEX 추구"
4,LG전자,Innovation for a Better Life
5,기아,Movement that inspires
6,한국전력공사,"KEPCO - A Smart Energy Creator
깨끗한 에너지로 미래가치 창출을 통해 따뜻한 에너지 세상을 열어가는 기업"
7,포스코,"With POSCO, We're the POSCO"
8,한화,"어제보다 더 행복한 오늘, 오늘보다 더 밝은 내일을 위해"
9,현대모비스,"Innovation for Humanity, Mobility for Tomorrow
인류의 미래를 위한 혁신, 내일 모빌리티 그 중심에"
10,하나은행,신뢰받고 앞서가는 글로벌 은행
11,SK이노베이션,HI !nnovation
12,CJ,"건강, 즐거움, 편리를 창조하는 미래 라이프스타일 기업"
13,SK하이닉스,위두 테크(We do tech)
14,삼성디스플레이,"Display beyond Imagination
상상 속에서만 가능했던 디스플레이, 그 이상을 우리가 만듭니다."
15,삼성물산,Global Business Partner & Lifestyle Innovator
16,LG화학,"We connect science to life for a better future
더 나은 미래를 위해 과학을 인류의 삶에 연결합니다."
17,CJ제일제당,"건강, 즐거움, 편리를 창조하는 글로벌 생활문화기업"
18,LG디스플레이,"You Dream, We Display"
19,KT,DIGICO KT
20,GS칼텍스,I am your Energy
21,이마트,풍요로운 가치를 창조하는 기업
22,포스코인터내셔널,We Make BUSINESS
23,한국가스공사,"Everywhere Green Life, H2 KOGAS
당신의 일상과 함께하는 KOGAS 그린에너지"
24,SK트레이딩인터내셔널,"way to the future, SK Inside"
25,SK에너지,더 나은 삶을 위한 에너지의 혁신 리더
26,현대중공업지주,앞선 기술과 높은 품질로 존경받는 기업
27,SK텔레콤,AI & Digital Infra 서비스 컴퍼니
28,현대제철,"철, 그 이상의 가치 창조
Engineering the Future beyond Steel"
29,현대건설,WE BUILD TOMORROW
30,두산,세계 속의 자랑스러운 두산
31,S-Oil,아시아·태평양을 넘어 글로벌 리더로
32,현대글로비스,GLOBAL SMART SCM PROVIDER
33,롯데쇼핑,LIFE TIME VALUE CREATOR
34,GS,Grow Sustainably
35,두산중공업,GLOBAL LEADER IN POWER & WATER
36,한국조선해양,KOREA SHIPBUILDING & OFFSHORE ENGINEERING
37,쿠팡,쿠팡 없이 그동안 어떻게 살았을까
38,현대오일뱅크,"도전, 혁신, 나눔의 기업"
39,LG유플러스,일상을 바꿉니다 U+5G
40,농협경제지주,"농민과 함께, 국민과 함께하는, 판매농협 실현"
41,롯데케미칼,화학으로 이로워지는 세상
42,삼성SDI,Creative Energy & Materials Solution Leade
43,LX인터내셔널,Future in Business Solution
44,삼성SDS,Realize your vision
45,CJ대한통운,The Global SCM Innovator
46,SK네트웍스,Customer Value Explorer
47,LS,Greater Value Together!
48,GS건설,우리는 우리를 넘어선다. Global Best AND First GS건설
49,LG이노텍,Inside your life!
50,한화솔루션,Sastainable solutions to advance the world
51,효성,CREATIVITY INSPIRED
52,대림산업,"INNOVATION, 기본을 지켜 혁신을 이루다"
53,LG유플러스,사랑 더하기 LG U+
54,대한항공,Excellence in Flight
55,KB손해보험,국민의 평생 희망파트너
56,농협생명보험,"행복을 크게, 넓게, 길게!"
57,대우건설,Build Together
58,GS건설,Global Best & First
59,SK 종합화학,The Innovation Chemical Company
60,대우조선해양,신뢰와 열정 Trust & Passion
61,한국지엠,Progressive ideas driving industry change
62,미래에셋대우,글로벌 자산관리 전문가
63,흥국생명보험,Life is Art
64,한화 토털,"Global Chemical, Energy Leader"
65,NH투자증권,Beyond the First
66,한국수력원자력,"신뢰받는 글로벌 에너지 리더, 한수원"
67,한화케미칼,창의적이고 경쟁력 있는 선도 화학기업
68,삼성SDS,Realize your vision
69,코리안리,We serve to protect your future
70,GS리테일,모두가 선망하는 Value NO.1 GS리테일
71,한국수출입은행,WE FINANCE GLOBAL KOREA
72,한국도로공사,사람 중심의 스마트 고속도로
73,메리츠화재,"고객과 함께 백년해로, 100년 HERO 메리츠 화재!"
74,삼성중공업,세계 초인류를 향한 도전
75,한국마사회,국민에게 사랑받는 말 산업 전문 기업
76,LG이노텍,Inside your life!
77,현대위아,Experience The New Technology
78,LS-Nikko동제련,INFINITE METAL TECHNOLOGY
79,SK건설,"Build the Great, SK건설"
80,SK인천석유화학,"함께 더하는가치, 더불어 나누는 행복"
81,동양생명,수호천사 동양생명
82,CJ대한통운,The Global SCM Innovator
83,포스코건설,마음을 읽습니다
84,한화손해보험,LIFE MEETS LIFE
85,서브원,산업재 시장을 선도하는 구매전
86,삼성전기,Creative Solution Provider!
87,한국타이어,Leading Global Tire Company
88,르노삼성자동차,Discover the Difference
89,SK가스,우리는 에너지의 미래를만듭니다. 
90,홈플러스,지금까지 없던 가장 현명한 선택
91,고려아연,세계 비철금속의 큰이름 고려아연
92,두산인프라코어,Global Leader in Infrastructure Solutions
93,이랜드월드,Everyone's Land
94,호텔롯데,A Global Leading Chain HOTELS & RESORTS
95,삼성SDI,Creative Energy & Materials Solution Leader
96,LG생활건강,"아름답고, 건강하고, 활기찬 "
97,현대엔지니어링,Together for a better future
98,아시아나항공,세계로 나가는 아름다운 동행
99,한국투자증권,Asia's Leading Financial Institution
100,동국제강,We create better life with steel
